Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.130539715,0.000144892,0.000633726,45742.96875,0.000101023
1,1,2,0.0015,0.173533991,0.001235986,0.001899929,11654.33984,0.045240168
1,1,3,0.0025,0.172354162,0.002911656,0.002643439,6445,0.112986356
1,1,4,0.0035,0.145299271,0.004676993,0.00231929,5338.129883,0.18504107
1,1,5,0.0045,0.126130551,0.006445138,0.002108689,5124.02002,0.302553475
1,1,6,0.0055,0.112057552,0.008145691,0.002067767,5066.560059,0.405910283
1,1,7,0.0065,0.098487996,0.009612793,0.001919473,5120.949707,0.462163806
1,1,8,0.0075,0.088479877,0.011335,0.001784737,5308.75,0.489644766
1,1,9,0.0085,0.081101567,0.012932664,0.001643197,5739.339844,0.503444076
1,1,10,0.009500001,0.075044505,0.014323422,0.001475499,6341.739746,0.505982041
1,1,11,0.010500001,0.069227345,0.015401619,0.001327723,7141.080078,0.52170068
1,1,12,0.011500001,0.063320376,0.016280534,0.001155423,8187.659668,0.528823912
1,1,13,0.012500001,0.057348158,0.016794562,0.00099974,9570.229492,0.549860776
1,1,14,0.013500001,0.052082885,0.01726044,0.000837498,11314.16992,0.562120616
1,1,15,0.014500001,0.047697406,0.017851749,0.00070908,13276.44922,0.574359417
1,1,16,0.015500001,0.043548543,0.018402601,0.000605657,15721.0293,0.597903729
1,1,17,0.016500001,0.039860506,0.019195277,0.000530761,18389.84961,0.633474231
1,1,18,0.017500001,0.03669253,0.019945446,0.000477288,21264.91992,0.672621667
1,1,19,0.018500001,0.03404671,0.02052705,0.000437483,24407.5293,0.706599474
1,1,20,0.019500001,0.0316916,0.020966763,0.000403356,27481.28906,0.730074465
1,1,21,0.020500001,0.029577913,0.021253221,0.000378721,30452.00977,0.751313448
1,1,22,0.021500001,0.027762136,0.021571115,0.000356461,32814.55078,0.762714565
1,1,23,0.022500001,0.026273707,0.021780521,0.000337334,34424.92969,0.767567039
1,1,24,0.023500001,0.02506041,0.021940393,0.000319006,35183.46094,0.765034735
1,1,25,0.024500001,0.024020115,0.021866959,0.000301286,35239.96094,0.75855118
1,1,26,0.025500001,0.023160264,0.021951554,0.000290048,34154.52734,0.752359748
1,1,27,0.026500001,0.022585599,0.022032773,0.000283186,32118.68945,0.74510324
1,1,28,0.027500001,0.022237837,0.021898726,0.000278244,29569.44922,0.734596491
1,1,29,0.028500001,0.021996535,0.022016792,0.0002819,26342.57031,0.732021153
1,1,30,0.029500001,0.022086889,0.021949735,0.000291875,23068.57031,0.729810476
1,1,31,0.030500001,0.022248592,0.021840503,0.000299958,19831.98047,0.722313702
1,1,32,0.031500002,0.022618072,0.021816356,0.000321558,16587.08984,0.723920345
1,1,33,0.032500002,0.023103675,0.02179281,0.000349588,13608.60938,0.723846734
1,1,34,0.033500002,0.023608251,0.021675767,0.00037182,11051.4502,0.708733916
1,1,35,0.034500002,0.024334407,0.021558486,0.000419626,8793.080078,0.716536999
1,1,36,0.035500002,0.025117466,0.021597333,0.000473034,6840.139648,0.711358786
1,1,37,0.036500002,0.02610372,0.021518396,0.000553237,5290.819824,0.715346932
1,1,38,0.037500002,0.027003279,0.02139057,0.000639892,4044.149902,0.713176549
1,1,39,0.038500002,0.027984461,0.021157883,0.000736011,3057.040039,0.695020139
1,1,40,0.039500002,0.028832175,0.02116197,0.00089227,2285.699951,0.708301663
1,1,41,0.040500002,0.029966032,0.021028036,0.001022728,1680.419922,0.680064499
1,1,42,0.041500002,0.031024255,0.020790128,0.001251789,1217.599976,0.682814777
1,1,43,0.042500002,0.031486511,0.020753626,0.001485493,839.2699585,0.640360892
