Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.131450743,0.000146001,0.000646366,45523.34766,0.006029289
1,1,2,0.0015,0.176210821,0.001249182,0.001932602,11636.20996,0.042719629
1,1,3,0.0025,0.175048545,0.002911526,0.002675038,6404.290039,0.103157528
1,1,4,0.0035,0.148604348,0.004707399,0.002437437,5324.509766,0.190931678
1,1,5,0.0045,0.13011542,0.0065319,0.002249324,5148.459961,0.323849529
1,1,6,0.0055,0.112416148,0.00808097,0.00209956,5105.429688,0.410916835
1,1,7,0.0065,0.098661974,0.009698033,0.001971643,5102.399902,0.475210637
1,1,8,0.0075,0.088456392,0.01137635,0.001783683,5250.75,0.484753341
1,1,9,0.0085,0.080940209,0.013044333,0.00162373,5678.330078,0.495947391
1,1,10,0.009500001,0.075512819,0.014497256,0.001493313,6262.259766,0.505147576
1,1,11,0.010500001,0.069752336,0.015564926,0.001322937,7122.77002,0.510447919
1,1,12,0.011500001,0.063821711,0.01644438,0.001178039,8138.819824,0.534335375
1,1,13,0.012500001,0.057980914,0.016972687,0.001011223,9550.660156,0.548653185
1,1,14,0.013500001,0.052685075,0.017417269,0.000858066,11265.37012,0.563590407
1,1,15,0.014500001,0.048072361,0.017899497,0.000718308,13369.85938,0.578834832
1,1,16,0.015500001,0.043835782,0.018623617,0.00061534,15655.95996,0.605412662
1,1,17,0.016500001,0.040112801,0.019301295,0.000535221,18387.68945,0.636884987
1,1,18,0.017500001,0.036838073,0.02005893,0.000480237,21367,0.67556566
1,1,19,0.018500001,0.033887692,0.020750092,0.000437976,24421.33008,0.708513022
1,1,20,0.019500001,0.031416249,0.021133903,0.000406301,27623.5293,0.736539066
1,1,21,0.020500001,0.029303094,0.021423545,0.000376896,30633.37891,0.753605723
1,1,22,0.021500001,0.027400851,0.021768749,0.000355109,33002.76953,0.76652199
1,1,23,0.022500001,0.025952591,0.021924933,0.000332555,34714.78906,0.768436074
1,1,24,0.023500001,0.024749236,0.022109529,0.000316824,35415.21094,0.769109488
1,1,25,0.024500001,0.023836816,0.022186576,0.000303842,35127.87109,0.765438795
1,1,26,0.025500001,0.023042047,0.022164861,0.000291018,34179.12891,0.757123888
1,1,27,0.026500001,0.022495937,0.022237437,0.000287516,32082.64844,0.753611863
1,1,28,0.027500001,0.022186108,0.022240166,0.000285245,29440.94922,0.746383429
1,1,29,0.028500001,0.022053806,0.022189584,0.000287692,26411.75,0.740257382
1,1,30,0.029500001,0.022092134,0.022177532,0.000292357,23029.40039,0.730943024
1,1,31,0.030500001,0.022210583,0.02212132,0.000302216,19779.84961,0.726668119
1,1,32,0.031500002,0.022558669,0.022111878,0.000326028,16614.16992,0.7316944
1,1,33,0.032500002,0.02301601,0.021942634,0.000342554,13706.33008,0.718244731
1,1,34,0.033500002,0.023502233,0.021886205,0.000368271,11101.7793,0.713338494
1,1,35,0.034500002,0.024025133,0.021849494,0.00040761,8836.929688,0.714411855
1,1,36,0.035500002,0.024836754,0.021619981,0.000475249,6915.239746,0.728327274
1,1,37,0.036500002,0.025824865,0.021619562,0.00055687,5277.560059,0.731431484
1,1,38,0.037500002,0.02672061,0.021508461,0.000644729,3896.809814,0.718344629
1,1,39,0.038500002,0.028101321,0.021756915,0.000749379,2969.959961,0.7138623
1,1,40,0.039500002,0.028999085,0.021602703,0.000876118,2259.98999,0.707962394
1,1,41,0.040500002,0.030211028,0.021598965,0.001037872,1662.449951,0.704205215
1,1,42,0.041500002,0.03116997,0.02150726,0.00122787,1224.419922,0.699890673
1,1,43,0.042500002,0.03217461,0.021372633,0.00151112,897.0899658,0.708242178
1,1,44,0.043500002,0.03327743,0.020662038,0.0018794,631.1599731,0.703224301
1,1,45,0.044500002,0.034612332,0.021605777,0.002220418,446.8699951,0.68676877
1,1,46,0.045500002,0.036082819,0.021259932,0.002575615,321.1399841,0.651798308
1,1,47,0.046500002,0.037382819,0.020542737,0.003168349,218.5699921,0.634763181
1,1,48,0.047500002,0.038280748,0.021180891,0.003661933,158.0800018,0.605163336
1,1,49,0.048500002,0.040033225,0.020709425,0.004470373,107.7999954,0.570726991
1,1,50,0.049500002,0.042214193,0.020025965,0.004971059,75.41999817,0.48882243
1,1,51,0.050500002,0.040228576,0.01906096,0.005842146,46.55999756,0.409448654
1,1,52,0.051500002,0.038224459,0.017428223,0.007720753,30.46999931,0.379591495
1,1,53,0.052500003,0.030881759,0.013890234,0.01209911,17.09000015,0.378493547
1,1,54,0.053500003,0.025183389,0.010975392,0.01490472,14.72999954,0.367596984
1,1,55,0.054500003,0.019288924,0.008596225,0.020550389,9.949999809,0.430653989
1,1,56,0.055500003,0.016210655,0.006456011,0.026521619,6.549999714,0.410669804
1,1,57,0.056500003,0.011350269,0.005255947,0.112144426,3.019999981,0.421504825
1,1,58,0.057500003,0.00911271,0.004294783,0.45835039,2.329999924,0.391269088
1,2,1,0.0005,0.001213027,4.91E-05,3.73E-06,291983.2188,0.040548489
1,2,2,0.0015,0.001274799,0.000867796,1.93E-05,25357.33008,0.390858978
1,2,3,0.0025,0.00145534,0.001989397,3.29E-05,14863.06934,0.506103337
1,2,4,0.0035,0.001868139,0.003350091,5.53E-05,8733.009766,0.494872361
1,2,5,0.0045,0.002452312,0.004946732,0.000108637,4246.089844,0.523173869
1,2,6,0.0055,0.003335778,0.006981737,0.000215283,1903.539917,0.523813784
1,2,7,0.0065,0.003917815,0.009197459,0.000415455,788.789978,0.538155675
1,2,8,0.0075,0.005432146,0.01188217,0.001422418,344.0899963,0.566295505
1,2,9,0.0085,0.006470519,0.014239657,0.001541167,170.0999908,0.400063634
1,2,10,0.009500001,0.009125912,0.016063064,0.003266513,109.8499985,0.454934269
1,2,11,0.010500001,0.012015111,0.019351913,0.004904525,130.0899963,0.449385673
1,2,12,0.011500001,0.011613923,0.020845154,0.00282835,171.1900024,0.470287293
1,2,13,0.012500001,0.009075187,0.018755782,0.002293289,259.2099915,0.574133515
1,2,14,0.013500001,0.008552072,0.02236682,0.00141618,350.039978,0.430876851
1,2,15,0.014500001,0.007519819,0.020806372,0.001010817,466.2799988,0.518579781
1,2,16,0.015500001,0.00738482,0.022475945,0.000852129,581.0700073,0.512399018
1,2,17,0.016500001,0.007907575,0.023914687,0.00075534,635.1199951,0.515497625
1,2,18,0.017500001,0.008242616,0.024102617,0.000704751,664.3200073,0.512613654
1,2,19,0.018500001,0.007786347,0.024805516,0.00062879,718.1399536,0.566138983
1,2,20,0.019500001,0.007325769,0.025480665,0.000579858,706.6699829,0.602472067
1,2,21,0.020500001,0.007025504,0.024645351,0.000537758,759.8599854,0.60648638
1,2,22,0.021500001,0.006535379,0.0237676,0.000491074,847.6300049,0.610434175
1,2,23,0.022500001,0.006684984,0.024702812,0.000484512,876.4699707,0.634710908
1,2,24,0.023500001,0.006813686,0.02565915,0.000475307,945.3499756,0.657930017
1,2,25,0.024500001,0.006706064,0.024662221,0.000448022,1072.099976,0.625534892
1,2,26,0.025500001,0.006342901,0.024709083,0.000448231,1123.949951,0.667801619
1,2,27,0.026500001,0.006459592,0.024399832,0.000420408,1257.619995,0.673598945
1,2,28,0.027500001,0.006497621,0.025817169,0.000421053,1194.719971,0.653154433
1,2,29,0.028500001,0.006590349,0.025549233,0.000428245,1195.650024,0.668401182
1,2,30,0.029500001,0.006317365,0.025357112,0.000431601,1188.439941,0.709436357
1,2,31,0.030500001,0.006432476,0.02532812,0.000444788,1055.22998,0.700786829
1,2,32,0.031500002,0.006261915,0.024958801,0.000503844,968.539978,0.710043311
