Locus,Parameter-number,Bin,Age,Parameter-value,Parameter-Frequency,Standard-deviation,Counts-per-bin,Autocorrelation-per-bin
1,1,1,0.0005,0.130930245,0.000143222,0.000643048,45538.58984,0.00168909
1,1,2,0.0015,0.174154759,0.001216542,0.001913014,11610.18945,0.040283147
1,1,3,0.0025,0.176063612,0.002888916,0.002777994,6351.819824,0.117582157
1,1,4,0.0035,0.147912592,0.004640453,0.002415984,5332.089844,0.2031762
1,1,5,0.0045,0.12779434,0.006404507,0.002163174,5094.52002,0.309530884
1,1,6,0.0055,0.110936947,0.007925509,0.001990765,5070.549805,0.403201789
1,1,7,0.0065,0.098605365,0.009509913,0.001935219,5043.790039,0.467009127
1,1,8,0.0075,0.088615619,0.011079461,0.001806698,5221.25,0.491090179
1,1,9,0.0085,0.080782257,0.012723877,0.001653194,5633.659668,0.504429102
1,1,10,0.009500001,0.075023763,0.014123612,0.001481655,6223.669922,0.497533649
1,1,11,0.010500001,0.069570534,0.015268888,0.001471919,6993.97998,0.457742572
1,1,12,0.011500001,0.063469306,0.015886756,0.001676761,8153.52002,0.520190477
1,1,13,0.012500001,0.057247024,0.016546719,0.001448507,9559.819336,0.544537425
1,1,14,0.013500001,0.052158922,0.016926959,0.001195802,11253.25977,0.536698401
1,1,15,0.014500001,0.047551956,0.017585013,0.001011393,13237.55957,0.550866425
1,1,16,0.015500001,0.043548372,0.018190848,0.000840379,15636.44922,0.552989185
1,1,17,0.016500001,0.039988153,0.018931227,0.000718922,18255.81055,0.568421722
1,1,18,0.017500001,0.036926005,0.019689312,0.000625817,21005.20898,0.584266603
1,1,19,0.018500001,0.034132522,0.02013051,0.000549935,24138.67969,0.599539578
1,1,20,0.019500001,0.031722147,0.020654941,0.000490936,27145.10938,0.61025697
1,1,21,0.020500001,0.029601464,0.020992018,0.000445112,30028.62891,0.618914187
1,1,22,0.021500001,0.027753668,0.021235565,0.000377183,32545.30859,0.650325954
1,1,23,0.022500001,0.02621899,0.021406319,0.000338062,34279.52734,0.767706275
1,1,24,0.023500001,0.024872763,0.021497048,0.00031986,35287.12891,0.765620947
1,1,25,0.024500001,0.023840351,0.021600729,0.00030515,35166.44922,0.760861158
1,1,26,0.025500001,0.023059348,0.021638518,0.000296701,34108.30078,0.759020507
1,1,27,0.026500001,0.022539351,0.021672331,0.000288645,32171.83008,0.750653029
1,1,28,0.027500001,0.022254705,0.021563165,0.000284191,29600,0.74133414
1,1,29,0.028500001,0.022006014,0.021673603,0.000277673,26487.78906,0.723622263
1,1,30,0.029500001,0.021937229,0.021592271,0.000292508,23318.42969,0.735969842
1,1,31,0.030500001,0.022137446,0.021606768,0.00030111,19950.63867,0.725532472
1,1,32,0.031500002,0.022524633,0.021486631,0.000311698,16682.11914,0.711200059
1,1,33,0.032500002,0.022989914,0.021473063,0.000347798,13641.71973,0.725344479
1,1,34,0.033500002,0.023607409,0.021452164,0.000385758,11061.17969,0.730250418
1,1,35,0.034500002,0.024363112,0.021266541,0.000428603,8828.319336,0.724706113
1,1,36,0.035500002,0.025200913,0.021283751,0.000483433,6850.469727,0.716940999
1,1,37,0.036500002,0.026017185,0.021061909,0.000537913,5276.22998,0.702920675
1,1,38,0.037500002,0.026982069,0.021161061,0.000665674,3981.26001,0.723436952
1,1,39,0.038500002,0.028263604,0.020761978,0.000757697,2979.639893,0.69843179
1,1,40,0.039500002,0.029416759,0.020854799,0.000882148,2154.73999,0.67307353
1,1,41,0.040500002,0.030546282,0.020680541,0.001075538,1579.27002,0.677510381
1,1,42,0.041500002,0.031255066,0.020556066,0.001277507,1169.799927,0.672555864
1,1,43,0.042500002,0.031456973,0.020674016,0.00167993,804.3499756,0.686984122
1,1,44,0.043500002,0.033137258,0.020657037,0.001936298,612.6900024,0.671040714
1,1,45,0.044500002,0.034920946,0.020649292,0.002248084,440.7399902,0.635482669
1,1,46,0.045500002,0.036474071,0.020537842,0.002705999,304.9299927,0.60892576
1,1,47,0.046500002,0.03963415,0.020759597,0.003233903,210.8300018,0.557563722
1,1,48,0.047500002,0.041132551,0.020293044,0.003546075,157.6399994,0.476820111
1,1,49,0.048500002,0.043728843,0.020536292,0.004441979,107.8799973,0.483356953
1,1,50,0.049500002,0.045738041,0.020648455,0.005240164,74.79999542,0.413827062
1,1,51,0.050500002,0.044320259,0.019324139,0.006190495,51.11999893,0.379529536
1,1,52,0.051500002,0.043126963,0.017634319,0.007464035,35.43999863,0.323447645
1,1,53,0.052500003,0.041305684,0.017140117,0.009751949,25.46999931,0.313284665
1,1,54,0.053500003,0.039196976,0.013437408,0.009704801,18.29999924,0.241850287
1,1,55,0.054500003,0.029215312,0.010709483,0.011869138,11.19999981,0.154163256
1,1,56,0.055500003,0.019643251,0.007566297,0.02226175,6.739999771,0.129013494
1,1,57,0.056500003,0.01726271,0.005168728,0.039477598,4.329999924,0.139632613
1,2,1,0.0005,0.001230392,5.10779E-05,3.7762E-06,291863.2188,0.039696496
1,2,2,0.0015,0.00128462,0.000906835,1.96872E-05,25672.58984,0.402487874
1,2,3,0.0025,0.001467113,0.002066321,0.000033751,15019.0498,0.501117051
1,2,4,0.0035,0.001960401,3.48E-03,6.04E-05,8661.669922,0.496756464
1,2,5,0.0045,0.002442378,0.005254038,1.06E-04,4197.709961,0.526584864
1,2,6,0.0055,0.003253536,0.007442309,2.18E-04,1831.890015,0.523830295
1,2,7,0.0065,0.003987956,0.009305771,4.61E-04,737.5700073,0.538472056
1,2,8,0.0075,0.005471731,0.011598696,0.001095008,288.9400024,0.482369065
1,2,9,0.0085,0.0069054,0.01552032,0.001710233,131.2299957,0.430908769
1,2,10,0.009500001,0.007487726,0.014927347,0.002677734,94.20999908,0.311083585
1,2,11,0.010500001,0.008844778,0.018732626,0.003444927,112.5199966,0.355578631
1,2,12,0.011500001,0.008296002,0.017601332,0.002204724,195.5699921,0.392994642
1,2,13,0.012500001,0.00792211,0.021139955,0.001546453,281.7900085,0.445432603
1,2,14,0.013500001,0.006545102,0.022275968,0.001163941,373.8699951,0.502582908
1,2,15,0.014500001,0.006781464,0.021337103,0.000952461,427.1399841,0.583595216
1,2,16,0.015500001,0.006782405,0.022952426,0.000730259,537.1799927,0.555433571
1,2,17,0.016500001,0.006567004,0.02382124,0.000566611,641.3999634,0.525397599
1,2,18,0.017500001,0.006798503,0.024789004,0.000564347,646.2199707,0.541949868
1,2,19,0.018500001,0.007379507,0.025052127,0.000636175,578.9599609,0.49863711
1,2,20,0.019500001,0.006918615,0.024213992,0.000584012,706.5599976,0.517633855
1,2,21,0.020500001,0.006738646,0.025140744,0.000534605,732.3999634,0.520415008
1,2,22,0.021500001,0.007095578,0.02549023,0.00050093,783.8800049,0.569537401
1,2,23,0.022500001,0.00647291,0.026285049,0.000487894,882.8999634,0.651928425
1,2,24,0.023500001,0.006388664,0.025897453,0.000457224,944.4299927,0.633491635
1,2,25,0.024500001,0.006560253,0.025605368,0.000461906,1048.569946,0.655886233
1,2,26,0.025500001,0.006516491,0.026684005,0.000432303,1134.839966,0.655760348
1,2,27,0.026500001,0.006528596,0.026496094,0.000423961,1180.619995,0.657649458
1,2,28,0.027500001,0.00669196,0.026132872,0.000410952,1181.280029,0.606748223
1,2,29,0.028500001,0.006654327,0.026876953,0.000401692,1170.329956,0.597986341
1,2,30,0.029500001,0.006701389,0.026352651,0.000412028,1156.429932,0.601383448
1,2,31,0.030500001,0.006504796,0.026400501,0.000440224,1046.459961,0.623821259
1,2,32,0.031500002,0.006479739,0.02579793,0.000466762,959.9699707,0.643413484
1,2,33,0.032500002,0.006453,0.026901778,0.000499169,827.2999878,0.661051512
1,2,34,0.033500002,0.006467173,0.025889952,0.000538208,722.8899536,0.667492151
1,2,35,0.034500002,0.006282967,0.026033899,0.000572714,659.3399658,0.702800989
1,2,36,0.035500002,0.006036584,0.025358921,0.000607092,553.1199951,0.700010121
1,2,37,0.036500002,0.006108938,0.026305627,0.000657216,414.3299866,0.681211352
1,2,38,0.037500002,0.006629041,0.025425872,0.000832152,297.4199829,0.632396102
1,2,39,0.038500002,0.006895915,0.025753722,0.00090571,215.9599915,0.597282767
1,2,40,0.039500002,0.006649591,0.026068043,0.001103949,169.8399963,0.658706605
1,2,41,0.040500002,0.006240221,0.023722557,0.001175886,132.7799988,0.643156648
1,2,42,0.041500002,0.006312913,0.023569822,0.001086655,102.5599976,0.670123577
1,2,43,0.042500002,0.005205235,0.022685338,0.00111583,71.23999786,0.665827513
1,2,44,0.043500002,0.005335114,0.022202771,0.003698237,47.47999954,0.554923773
1,2,45,0.044500002,0.005483419,0.021161201,0.005024997,39.11000061,0.504509032
1,2,46,0.045500002,0.005661888,0.019632133,0.008093829,24.59000015,0.506937146
1,2,47,0.046500002,0.006228138,0.016799854,0.009217136,17.78999901,0.379080027
1,2,48,0.047500002,0.003836346,0.012970155,0.018742163,9.300000191,0.381281644
1,2,49,0.048500002,0.001574623,0.007302401,0.005067012,6.659999847,0.626980007
1,2,50,0.049500002,0.000747017,0.004678852,,3.769999981,0.739674926
1,2,51,0.050500002,0.000241768,0.002140264,,1.74000001,0.625450492
1,2,52,0.051500002,0.000121534,0.001288041,,1.179999948,0.625339925
1,2,53,0.052500003,0.000157095,0.000779714,,1.149999976,0.90256846
1,2,54,0.053500003,0.000182583,0.001587706,,1.399999976,0.4996126
1,2,55,0.054500003,0.000215676,0.001172366,0.055704679,3.299999952,0.514267504
1,2,56,0.055500003,0.000236677,0.001238982,,2.819999933,0.532857359
1,2,57,0.056500003,0.000294606,0.001852271,0.022720194,1.5,0.091328479
1,3,1,0.0005,3507.690186,0.014165944,12943.43652,3.799999952,0.468346357
1,3,2,0.0015,645.4109497,0.018502457,3435.915283,12.57999992,0.761242509
1,3,3,0.0025,789.8413086,0.021682568,12980.18262,14.02999973,0.000110595
1,3,4,0.0035,712.3724976,0.02254987,1502.482178,19.69999886,0.747349143
1,3,5,0.0045,528.8942261,0.023417173,,13.09999943,0.883286536
1,3,6,0.0055,345.1502686,0.02601908,582.8383179,26.42000008,0.785419703
1,3,7,0.0065,302.6243896,0.02601908,180.1903534,41.45999908,0.769091129
1,3,8,0.0075,238.760788,0.026886383,191.0439453,39.55999756,0.694444001
